txid,timestamp,my_address,other_address,direction,amount_sat,fee_sat,internal,datetime,signed_amount
e3c88eadbad474666f2a38b79bc30c478d1bca1837057a3885714fb25bbbff99,1483790072,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,18p9Ftp3m4435tdpZTvoBsm3yjUgkvTF2b,IN,1455776,0,False,2017-01-07 11:54:32+00:00,1455776
f17bb8d13fcb0a78a55834dabd7e4e03ffb19a3a4388b50daae50e791ec72d29,1485995726,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,3BsxemN2EkRTH2LBzYUYST39o6ZbQfZ6a8,OUT,1380000,4488,False,2017-02-02 00:35:26+00:00,-1384488
f17bb8d13fcb0a78a55834dabd7e4e03ffb19a3a4388b50daae50e791ec72d29,1485995726,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,1MzYBeLERif7s2G1UpJ8JrTGjwgCs5tcZC,OUT,71288,4488,False,2017-02-02 00:35:26+00:00,-71288
7e6431e66ff6ab3055185160d9e32567ddf9a602d85e9c34487e32e6ba1f09e6,1501083650,13j1zprAvYwYu7o3ahiaWW6koBF5DEK99g,1EnxErtRRpfshfZHCGj2dhVfKqNUvqB6uV,IN,3908028,0,False,2017-07-26 15:40:50+00:00,3908028
72dc53b2e962610bedcd27df9b3e8064091a05fbc2cdafcdab26dd8ba34b5bcf,1501241316,1AANaeGQYx6oYjK5uGjiGYMaT6nHR8chH3,18p9Ftp3m4435tdpZTvoBsm3yjUgkvTF2b,IN,4316487,0,False,2017-07-28 11:28:36+00:00,4316487
a8857a72f69107d75d8673d36a0d8e056dc404e20703ebf1792c1a34966b2733,1501435303,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,3Bg5WDKzMjHv3Y4LG2jf94e9HVwCJTLGpX,IN,344715,0,False,2017-07-30 17:21:43+00:00,344715
c6f9c54b68c0804458261b4f0aecc4f4d535816230b6b214998d53a896c94abb,1503831535,1AANaeGQYx6oYjK5uGjiGYMaT6nHR8chH3,1D9LTF47cUpw5ZR74DqSFbJNSYavzERAHZ,OUT,8622161,19615,False,2017-08-27 10:58:55+00:00,-8641776
c6f9c54b68c0804458261b4f0aecc4f4d535816230b6b214998d53a896c94abb,1503831535,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,1D9LTF47cUpw5ZR74DqSFbJNSYavzERAHZ,OUT,8622161,19615,False,2017-08-27 10:58:55+00:00,0
c6f9c54b68c0804458261b4f0aecc4f4d535816230b6b214998d53a896c94abb,1503831535,13j1zprAvYwYu7o3ahiaWW6koBF5DEK99g,1D9LTF47cUpw5ZR74DqSFbJNSYavzERAHZ,OUT,8622161,19615,False,2017-08-27 10:58:55+00:00,0
271f895a53ae2bcd871b2544956c828e8793e6cfde5fdba3c0ef543ba264c0b4,1507387452,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,3LFSPN9Xrot98GY5HbEQuK4a5N5U7xYR4Q,IN,770910,0,False,2017-10-07 14:44:12+00:00,770910
659aa7188a20d913020741a1711fcc5eb60a8f4cbde130037ac4877a7437f9d1,1508783370,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,35NJZHtFHCLDnoa9gLhmafymD7hMaEVnfk,IN,240468,0,False,2017-10-23 18:29:30+00:00,240468
1fe6e281d6e6ea0cccfe65ef503d7e6f5e4d50d65ce64ce15b9110b09a4d571d,1509194483,1EnZ1XLyF4fdw6u3at3CDTczbr4whH1siw,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,IN,944961,0,True,2017-10-28 12:41:23+00:00,944961
1fe6e281d6e6ea0cccfe65ef503d7e6f5e4d50d65ce64ce15b9110b09a4d571d,1509194483,1M39a7QanTGNTdqCnq5yZhvdovjxa1MCFu,1EnZ1XLyF4fdw6u3at3CDTczbr4whH1siw,OUT,944961,66417,True,2017-10-28 12:41:23+00:00,-1011378
ba5f6c1ed11740d2a020f1aaaaa42bc3ac93f1c839f2ecec6aadabe7d45230b0,1509525787,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,15uhWTQoTmFKtPrcdpspH85rH3EfgXGZQx,IN,18907913,0,False,2017-11-01 08:43:07+00:00,18907913
b8d0e9f575c0a47bf9379e1d4e4e0f96eaee257887b351b9ffc2f8619744880e,1510532941,1AUL6og6bCBxgtHfFGUHNrL4SNRqwQHff4,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,IN,13814200,0,True,2017-11-13 00:29:01+00:00,13814200
b8d0e9f575c0a47bf9379e1d4e4e0f96eaee257887b351b9ffc2f8619744880e,1510532941,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,1AUL6og6bCBxgtHfFGUHNrL4SNRqwQHff4,OUT,13814200,93713,True,2017-11-13 00:29:01+00:00,-13907913
b8d0e9f575c0a47bf9379e1d4e4e0f96eaee257887b351b9ffc2f8619744880e,1510532941,1EaRTktYtBy4MCUHZf5Mazjj7VPPaEuKBk,1p14aUUk5uVcdP5CAs5NsPCJyodmoqc8N,OUT,5000000,93713,False,2017-11-13 00:29:01+00:00,-5000000
01c70fa9f87e5effd032a114fa6848c4c6995ce0e883820890d06ebd6d6b62d9,1511313026,16FQWgBRGbg8JnX3rRPxSfy4k8oCfCBhyQ,1MUkn1y2EhCR5Sxs4ccsziqWG2REceB5v1,IN,9100525,0,False,2017-11-22 01:10:26+00:00,9100525
6eec7834ae9f17136e51631aff0f67071b399f03bcdf9b3eb25a70411b5d4ded,1511654462,17nFAyQnK28gFiLVGU7VKcnycgmzf7CVyr,1AUL6og6bCBxgtHfFGUHNrL4SNRqwQHff4,IN,12793500,0,True,2017-11-26 00:01:02+00:00,12793500
6eec7834ae9f17136e51631aff0f67071b399f03bcdf9b3eb25a70411b5d4ded,1511654462,1AUL6og6bCBxgtHfFGUHNrL4SNRqwQHff4,17nFAyQnK28gFiLVGU7VKcnycgmzf7CVyr,OUT,12793500,20700,True,2017-11-26 00:01:02+00:00,-12814200
6eec7834ae9f17136e51631aff0f67071b399f03bcdf9b3eb25a70411b5d4ded,1511654462,1AUL6og6bCBxgtHfFGUHNrL4SNRqwQHff4,17SBQ8oE39MiZBpvHWFfjSVjSte6N4zdcD,OUT,1000000,20700,False,2017-11-26 00:01:02+00:00,-1000000
ada7fb92c9bdc277a084e68f1c00aef7bc805ffff7533fe18e776fef448be59e,1511836542,1EnZ1XLyF4fdw6u3at3CDTczbr4whH1siw,129gvLknQXcBpnerHQJLmoTRrJxtqtkLyU,OUT,422200,22761,True,2017-11-28 02:35:42+00:00,-444961
ada7fb92c9bdc277a084e68f1c00aef7bc805ffff7533fe18e776fef448be59e,1511836542,129gvLknQXcBpnerHQJLmoTRrJxtqtkLyU,1EnZ1XLyF4fdw6u3at3CDTczbr4whH1siw,IN,422200,0,True,2017-11-28 02:35:42+00:00,422200
ada7fb92c9bdc277a084e68f1c00aef7bc805ffff7533fe18e776fef448be59e,1511836542,1EnZ1XLyF4fdw6u3at3CDTczbr4whH1siw,1H3v9cRV2bKD4HUdk84Yr9FDWLbV3HDzWt,OUT,500000,22761,False,2017-11-28 02:35:42+00:00,-500000
98c68072d7ebfbc41b6b130f6f7d32275b896d8515240d44b772225c8d6c1259,1517161935,129gvLknQXcBpnerHQJLmoTRrJxtqtkLyU,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,OUT,22306225,10000,True,2018-01-28 17:52:15+00:00,-22316225
98c68072d7ebfbc41b6b130f6f7d32275b896d8515240d44b772225c8d6c1259,1517161935,16FQWgBRGbg8JnX3rRPxSfy4k8oCfCBhyQ,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,OUT,22306225,10000,True,2018-01-28 17:52:15+00:00,0
98c68072d7ebfbc41b6b130f6f7d32275b896d8515240d44b772225c8d6c1259,1517161935,17nFAyQnK28gFiLVGU7VKcnycgmzf7CVyr,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,OUT,22306225,10000,True,2018-01-28 17:52:15+00:00,0
98c68072d7ebfbc41b6b130f6f7d32275b896d8515240d44b772225c8d6c1259,1517161935,bc1qxkfe3z2pnew5uq0rfw7g705al3v068u79ez6sv,129gvLknQXcBpnerHQJLmoTRrJxtqtkLyU,IN,22306225,0,True,2018-01-28 17:52:15+00:00,22306225
a6dcadfacb79dbe2671a6624c086519cffdbb7dc2e7c527e9b74a4e7db21e255,1520281957,1KCA9uHbxgazEAwZij9WU6tzPphVsPQoF1,39j2d5qZ4Tmo5iJFS9ThkpwmAeCs5VUNpF,IN,1800787,0,False,2018-03-05 20:32:37+00:00,1800787
