idx,timestamp,type,asset,qty,fee,asset_b,qty_b,fee_b,address,balanceB,plus,diversi
0,1503520038,DEPOSIT,BTC,0.02706053,nan,nan,0.0,0.0,1EoJACEcyswn1DjsMBrf2fH3JHyUZif5jM,0.02706053,0,0
1,1503520671,DEPOSIT,ETH,0.4758541,nan,nan,0.0,0.0,0x4fc2f7079a4dca9245be69ee4a8627f1c07b85ba,0.02706053,0,0
4,1503596754,Bought,ETC,5.39857574,0.0,BTC,0.01950143,4.875e-05,nan,0.007510349999999999,0,0
5,1503605131,Bought,NXT,1.49831483,0.0,BTC,4.27e-05,1e-07,nan,0.007467549999999999,0,0
6,1503606281,Bought,NXT,175.06142506,0.0,BTC,0.00498749,1.246e-05,nan,0.0024675999999999995,0,0
7,1503607999,Sold,ETC,5.39857574,0.0,BTC,0.01954203,4.884e-05,nan,0.021960789999999997,0,0
8,1503608328,Bought,ETC,1.38538203,0.0,BTC,0.00498747,1.245e-05,nan,0.016960869999999996,0,0
9,1503832700,Sold,ETH,0.01288929,0.0,BTC,0.0010025,2.5e-06,nan,0.017960869999999997,0,0
10,1503832843,Sold,ETH,0.12889287,0.0,BTC,0.01002499,2.506e-05,nan,0.027960799999999994,0,0
11,1503833060,Bought,LSK,6.0958555,0.0,BTC,0.01064159,2.66e-05,nan,0.017292609999999993,0,0
12,1503836621,Sold,ETC,1.38538203,0.0,BTC,0.00507049,1.267e-05,nan,0.022350429999999994,0,0
13,1503842400,Bought,STRAX,3.49355433,0.0,BTC,0.00537619,1.344e-05,nan,0.016960799999999995,0,0
14,1503855230,Sold,STRAX,3.49355433,0.0,BTC,0.00549885,1.374e-05,nan,0.022445909999999993,0,0
15,1503858425,Sold,ETH,0.20506459,0.0,BTC,0.0159376099999999,3.984e-05,nan,0.038343679999999894,0,0
16,1503858548,Bought,STRAX,3.03562408,0.0,BTC,0.0049875,1.246e-05,nan,0.033343719999999896,0,0
17,1503858593,Bought,STRAX,3.58702241,0.0,BTC,0.00588307,1.47e-05,nan,0.027445949999999896,0,0
18,1503865601,Sold,LSK,6.0958555,0.0,BTC,0.00935652,2.339e-05,nan,0.036779079999999895,0,0
19,1503954158,Bought,BTS,273.90046999,0.0,BTC,0.00930987,2.327e-05,nan,0.027445939999999894,0,0
20,1504021712,Sold,NXT,176.55973989,0.0,BTC,0.0042180099999999,1.054e-05,nan,0.03165340999999979,0,0
