Date,Currency,Type,Address,Memo/Tag,TxId,Amount,Commission
2024-01-06 01:57:34.660,USDT,WITHDRAWAL,MAINTENANCE-FEE-20240105,,F59F4E887B1C4753E5F0D49089F45C1F,-0.00006525,
2018-09-19 18:28:31.207,BTC,WITHDRAWAL,1CXrREtFy9z6LppYBjwUamfHwYBdwnxD26,,fd5aef948fbe63dcb03af963a63d37979960a428fb1bb502add418038079a291,-0.05348361,0.0005
2018-09-03 16:10:13.413,DASH,DEPOSIT,Xswn8AP81GwFd8qA9E8YkjJV6X9U6Pxh1f,,77ba3601da08c83398775699a1b6a67509b22f60ce04b824e92b388ebc517107,0.01295221,
2018-04-02 16:41:04.250,ETH,WITHDRAWAL,0xDa9304a2267cA8AE1405D13CD80e98E8B70Fc49B,,0x4658e6b238f82e710282f41da35b9391d6803801f9917c592dc52e76b13e717a,-0.094,0.006
2018-02-26 22:31:28.277,ZCL,WITHDRAWAL,t1bKy3vPFuDcK85LaSpKDWSQSALLMEx83sU,,ef331f208256a2b94ca865a47c3d112c2e57d93b54435ce81af685741066ddfc,-0.78638111,0.002
2018-02-05 12:05:50.100,LTC,WITHDRAWAL,LZcMPE3XdgBcu7Tym4Y7JeZLiBu5aNUnAR,,ee248401fe4df24c8d2c60343dc56a64e94981826e3c0b35858cccef8d406a88,-1.00144068,0.01
2018-01-19 16:10:15.697,LTC,WITHDRAWAL,Lhumqf5KDM1Arqc5abdHacLAHwpmABG492,,06e211f7b00cb3798db6a2540c7c1a7fef5489fc5d25cf12dec5166672281838,-0.19,0.01
2018-01-19 06:59:37.647,BCH,DEPOSIT,1FYaQHBx4mh5dJfUQJJVavKfG1L6CQAwac,,cc42b97ad65615d9cd6ceb5bc7dd072fd5f8fedf5b1718e49d4e2db540b81139,0.02035,
2018-01-18 18:04:10.373,BCH,DEPOSIT,1FYaQHBx4mh5dJfUQJJVavKfG1L6CQAwac,,c7999e6082eed31bd97b656f603ad40f1abf001adab5635f0a888b2b414ed767,0.02814808,
2018-01-18 14:44:27.830,LTC,WITHDRAWAL,Lhumqf5KDM1Arqc5abdHacLAHwpmABG492,,718264d4f1eb41f45b03bfdc795e919398a43b814011baada615b2db8ce3460e,-0.26774401,0.01
2018-01-18 14:20:13.987,LTC,WITHDRAWAL,Lbhesx1rfwrBXyKujczTMBeromHeq8aT3d,,494c192443bba6f0ba0ee72d7e49136b7c6bf11b974b78fea798d5b54fffab0d,-0.6,0.01
2018-01-13 11:04:54.700,BTC,DEPOSIT,1EoJACEcyswn1DjsMBrf2fH3JHyUZif5jM,,e3ff9a63663447b0d368808397bfa4998b25dd1c64f03e47c225d7a91b254ee6,0.02824869,
2018-01-03 21:58:49.247,SIGNA,WITHDRAWAL,BURST-ZMNZ-7LH9-SV65-CF2LR,MaloMax,1.31E+19,-98,2
2018-01-03 14:11:39.320,LTC,WITHDRAWAL,LXhytDbYmJnYWgBohYbV1mNNhZNLQX2d7w,,029eed193a5173485403de208759d770734fa34d9e65009dd3715a1938970beb,-0.26513249,0.01
2017-12-26 09:46:24.900,LTC,WITHDRAWAL,LiYRg2YS76wwHsGqWapp38HuJDLY58vVrd,,3a2f7de3cfa36c7e18c1754b6525451a405604a6409ba6fc1524d924be122671,-0.25507308,0.01
2017-12-18 09:43:05.357,LTC,WITHDRAWAL,Lh6UW9rJSYE5bP8mtubUaxiD7sLoMgVb8Q,,223e552e816511d590f7be1bd78da718aaf63150830a9bd0d9b1ed79457e91ea,-0.6,0.01
2017-09-03 09:17:40.943,BTC,DEPOSIT,1EoJACEcyswn1DjsMBrf2fH3JHyUZif5jM,,9ada83bfee98bdbb4c3b3e3e809ad17267f3b1468af89863ffca68d694c23ba2,0.08606164,
2017-08-23 20:37:51.683,ETH,DEPOSIT,0x4fc2f7079a4dca9245be69ee4a8627f1c07b85ba,,0xb0553ed1a4515d403a5153bf6e60d786c9bd7f41b5c713996667ade3cd62f9af,0.4758541,
2017-08-23 20:27:18.427,BTC,DEPOSIT,1EoJACEcyswn1DjsMBrf2fH3JHyUZif5jM,,f550cd72678ca3070b0d48687117d3bc0552207f32e9f36a2c7c66ba2c438ab9,0.02706053,
